Name.1,Community,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,X-Coord,Y-Coord,lon,lat
NORTHERN,Kasalni No.1,NO,NA,359,412.85,Mion,Northern,NA,No,NA,NA,824044.4908,1031089.925,9.315550896,-5.05E-02
NORTHERN,Katinguli,NO,NA,483,555.45,Mion,Northern,NA,No,NA,NA,823373.1902,1074055.316,9.703699699,-5.33E-02
NORTHERN,Gayikope,NO,NA,210,241.5,Kpandai,Northern,NA,No,NA,NA,787070.9522,906624.424,8.193536757,-0.394604954
NORTHERN,Gbetekpo,NO,NA,1271,1461.65,Kpandai,Northern,NA,Yes,NA,NA,769615.9,912859.1049,8.250872398,-0.552575498
NORTHERN,Gbetekpo Avegorme,NO,NA,100,115,Kpandai,Northern,NA,Yes,NA,NA,770053.6578,913738.9863,8.258799697,-0.548555198
NORTHERN,Gbetekpoo Kodome,NO,NA,304,349.6,Kpandai,Northern,NA,Yes,NA,NA,771089.0714,911336.4602,8.237030297,-0.539296398
NORTHERN,Gbetekpoo Taylorkope,NO,NA,302,347.3,Kpandai,Northern,NA,Yes,NA,NA,771433.8622,912426.1984,8.246859098,-0.536107698
NORTHERN,Gbettey Kope,NO,NA,264,303.6,Kpandai,Northern,NA,No,NA,NA,805083.0502,926815.4123,8.374869692,-0.229981441
NORTHERN,Kinandu-Saboba,NO,NA,142,163.3,Saboba,Northern,NA,No,NA,NA,862826.6476,1083476.977,9.785493398,0.306708404
NORTHERN,Gbettey Kope,NO,NA,195,224.25,Kpandai,Northern,LAKESIDE,No,NA,NA,855129.2876,926805.866,8.371336909,0.223957305
NORTHERN,Kinyobedor (Pomado),NO,NA,529,608.35,Zabzugu,Northern,NA,No,NA,NA,868908.1214,1014474.273,9.161909499,0.356005605
NORTHERN,Kitiebu,NO,NA,589,677.35,Tatale Sangule,Northern,NA,No,NA,NA,884536.8264,1043507.454,9.422674893,0.500608705
NORTHERN,Kitiebu(Charkudo),NO,NA,407,468.05,Tatale Sangule,Northern,NA,No,NA,NA,877853.7276,1004439.285,9.070543699,0.436418004
NORTHERN,Kitulanbungni (Tilangbungni),NO,NA,180,207,Saboba,Northern,NA,No,NA,NA,845860.4155,1064030.959,9.611346401,0.150606104
NORTHERN,Klugon,NO,NA,203,233.45,Gushiegu,Northern,NA,No,NA,NA,813499.964,1098290.607,9.923387701,-0.141272797
NORTHERN,Koblimahagu,NO,NA,1184,1361.6,Tamale Metropolitan,Northern,NA,No,NA,NA,739835.3452,1040282.729,9.404160799,-0.815997999
NORTHERN,Gershon Kope,NO,NA,34,39.1,Kpandai,Northern,NA,No,NA,NA,810500.0666,917658.81,8.29179743,-0.181430496
NORTHERN,Kojodo,NO,NA,96,110.4,Yendi Municipal,Northern,NA,No,NA,NA,822443.3043,1041653.617,9.411092698,-6.42E-02
NORTHERN,Kokoado,NO,NA,393,451.95,Tatale Sangule,Northern,NA,No,NA,NA,864844.2251,1038923.505,9.383018897,0.321156104
NORTHERN,Kokpen,NO,NA,405,465.75,Kumbugu,Northern,NA,No,NA,NA,722984.1323,1043116.617,9.430692601,-0.969230899
NORTHERN,Kolando,NO,NA,312,358.8,Tatale Sangule,Northern,NA,No,NA,NA,881159.9668,998148.7167,9.013465997,0.465905305
NORTHERN,Kolikoli,NO,NA,244,280.6,Zabzugu,Northern,NA,No,NA,NA,854328.0748,1010321.425,9.125611794,0.223178603
NORTHERN,Kolikoli Fishing Camp,NO,NA,96,110.4,Zabzugu,Northern,NA,No,NA,NA,853503.9573,1010193.385,9.124521899,0.215679704
NORTHERN,Gmabendo,NO,NA,210,241.5,Kpandai,Northern,FEEDER ROAD,No,NA,NA,807133.3665,910388.5575,8.226327932,-0.2124281
NORTHERN,Konja,NO,NA,388,446.2,Nanumba South,Northern,NA,No,NA,NA,817000.5644,945381.5977,8.54182047,-0.120621504
NORTHERN,Konkoliyili,NO,NA,155,178.25,Zabzugu,Northern,NA,No,NA,NA,865953.6965,1004370.975,9.0709281,0.328314205
NORTHERN,Konkonjonni,NO,NA,726,834.9,Tatale Sangule,Northern,NA,No,NA,NA,876238.387,1021490.945,9.224637201,0.423218205
NORTHERN,Gudugban,NO,NA,281,323.15,Kpandai,Northern,NA,No,NA,NA,794332.6266,910668.164,8.229643338,-0.328503568
NORTHERN,Korkorsulo,NO,NA,87,100.05,Zabzugu,Northern,NA,No,NA,NA,859932.4768,1005718.196,9.0835882,0.273724204
NORTHERN,Korpane,NO,NA,182,209.3,Zabzugu,Northern,NA,No,NA,NA,858273.3661,996184.3418,8.997629096,0.257876004
NORTHERN,Kosibo,NO,NA,551,633.65,Kumbugu,Northern,NA,No,NA,NA,724327.6278,1067058.465,9.647032895,-0.955711499
NORTHERN,Kotogu,NO,NA,351,403.65,Gushiegu,Northern,NA,No,NA,NA,818751.2175,1124778.09,10.1622331,-9.13E-02
